Startzone,Endzone,Distanz (km),Zeit (h)
4.0,12.0,4.011809606102258,0.4011809606102258
4.0,13.0,3.5738159170539117,0.3573815917053912
4.0,24.0,8.77524869081091,0.8775248690810911
4.0,41.0,9.248550808391,0.9248550808391001
4.0,42.0,11.04276307398733,1.1042763073987332
4.0,43.0,6.499792020709391,0.6499792020709391
4.0,48.0,4.588603992247443,0.4588603992247443
4.0,68.0,3.4560325316114113,0.34560325316114116
4.0,74.0,9.266430022680938,0.9266430022680938
4.0,75.0,7.852440194208281,0.7852440194208281
4.0,79.0,0.8747969725453337,0.08747969725453338
4.0,87.0,3.153738763866574,0.3153738763866574
4.0,88.0,3.6383526664697623,0.36383526664697624
4.0,90.0,2.7752504078485924,0.27752504078485923
4.0,100.0,3.229761662099459,0.3229761662099459
4.0,103.0,6.878135964850616,0.6878135964850616
4.0,104.0,6.052299184520232,0.6052299184520231
4.0,105.0,5.349689642628455,0.5349689642628455
4.0,107.0,1.6806460008506456,0.16806460008506457
4.0,113.0,1.845020826524866,0.1845020826524866
4.0,114.0,1.8824939630714552,0.18824939630714552
4.0,116.0,11.883543770032212,1.1883543770032212
4.0,118.0,1.2928497591782169,0.12928497591782168
4.0,120.0,14.367469204922601,1.43674692049226
4.0,125.0,2.6654238709826044,0.26654238709826045
4.0,127.0,16.630379811468437,1.6630379811468436
4.0,128.0,17.34378149439296,1.734378149439296
4.0,137.0,1.9348307633139283,0.19348307633139283
4.0,140.0,5.129040666172094,0.5129040666172094
4.0,141.0,5.132477576075598,0.5132477576075598
4.0,142.0,5.621529298503242,0.5621529298503243
4.0,143.0,5.958735750437657,0.5958735750437657
4.0,144.0,1.778041674935625,0.17780416749356248
4.0,148.0,1.2852796325954543,0.12852796325954544
4.0,151.0,8.40821737968283,0.840821737968283
4.0,152.0,10.776795793108986,1.0776795793108986
4.0,153.0,18.006803977872323,1.8006803977872323
4.0,158.0,2.9212978598477375,0.29212978598477374
4.0,161.0,3.9262004192628748,0.39262004192628747
4.0,162.0,3.7121389814949004,0.37121389814949
4.0,163.0,4.672615004635178,0.4672615004635178
4.0,164.0,2.87326802578052,0.287326802578052
4.0,166.0,9.696751596035739,0.9696751596035739
4.0,170.0,2.7224076623808107,0.2722407662380811
4.0,186.0,3.3603490765004684,0.33603490765004684
4.0,194.0,8.755048004395524,0.8755048004395525
4.0,202.0,4.819371244872807,0.48193712448728065
4.0,209.0,2.7241903020159026,0.27241903020159025
4.0,211.0,2.1282223942262766,0.21282223942262765
4.0,224.0,1.0583830005553132,0.10583830005553133
4.0,229.0,3.8477942717061744,0.3847794271706174
4.0,230.0,4.18012692345175,0.418012692345175
4.0,231.0,2.7371900998405416,0.2737190099840542
4.0,232.0,1.031715452849028,0.1031715452849028
4.0,233.0,3.0277496675994513,0.30277496675994514
4.0,234.0,2.262219061245605,0.2262219061245605
4.0,236.0,6.617315190248815,0.6617315190248816
4.0,237.0,4.898931856785822,0.4898931856785822
4.0,238.0,7.702890910672029,0.7702890910672029
4.0,239.0,6.67023586642866,0.667023586642866
4.0,243.0,15.345054790067394,1.5345054790067394
4.0,244.0,13.634799763720583,1.3634799763720582
4.0,246.0,4.1161034582205325,0.41161034582205325
4.0,249.0,2.5580549468790683,0.2558054946879068
4.0,261.0,3.5957974218792623,0.3595797421879262
4.0,262.0,6.351804834987353,0.6351804834987352
4.0,263.0,6.511733584962494,0.6511733584962494
12.0,4.0,4.011809606102258,0.4011809606102258
12.0,13.0,1.0365198509296345,0.10365198509296344
12.0,24.0,11.83006682545846,1.1830066825458458
12.0,41.0,12.534111402852902,1.2534111402852903
12.0,42.0,14.406823084387488,1.4406823084387488
12.0,43.0,9.684679453180436,0.9684679453180436
12.0,48.0,7.144623891255358,0.7144623891255357
12.0,68.0,5.35424446211065,0.535424446211065
12.0,74.0,12.827554068866263,1.2827554068866263
12.0,75.0,11.360151016192102,1.1360151016192102
12.0,79.0,3.76091422334234,0.376091422334234
12.0,87.0,0.8594755944462686,0.08594755944462687
12.0,88.0,0.40037957362375937,0.040037957362375934
12.0,90.0,4.831857705325249,0.4831857705325249
12.0,100.0,5.943101066274847,0.5943101066274847
12.0,103.0,2.876074962384379,0.2876074962384379
12.0,104.0,2.1689908033384437,0.21689908033384436
12.0,105.0,1.632861774385949,0.16328617743859491
12.0,107.0,4.674776373540528,0.4674776373540528
12.0,113.0,3.79433233117433,0.379433233117433
12.0,114.0,3.3330559282154733,0.3333055928215473
12.0,116.0,15.067319038238471,1.5067319038238471
12.0,118.0,2.7881405177339458,0.2788140517733946
12.0,120.0,17.675792179488855,1.7675792179488856
12.0,125.0,2.6993686587201995,0.2699368658720199
12.0,127.0,19.953704288520793,1.9953704288520793
12.0,128.0,20.575971557318603,2.05759715573186
12.0,137.0,5.408675783414683,0.5408675783414683
12.0,140.0,8.768805463828853,0.8768805463828853
12.0,141.0,8.648181172821326,0.8648181172821326
12.0,142.0,8.422225079558032,0.8422225079558032
12.0,143.0,8.54301276330529,0.854301276330529
12.0,144.0,2.540088396873575,0.2540088396873575
12.0,148.0,2.7763766486236854,0.2776376648623685
12.0,151.0,11.435515786939208,1.1435515786939208
12.0,152.0,13.946668034722572,1.3946668034722571
12.0,153.0,21.367721200596343,2.1367721200596344
12.0,158.0,3.590615840535361,0.3590615840535361
12.0,161.0,7.023160921242082,0.7023160921242082
12.0,162.0,7.026809621064255,0.7026809621064255
12.0,163.0,7.6195597702820645,0.7619559770282065
12.0,164.0,5.666517907268747,0.5666517907268747
12.0,166.0,12.756484370514181,1.275648437051418
12.0,170.0,5.87393183653786,0.587393183653786
12.0,186.0,5.570314405207044,0.5570314405207044
12.0,194.0,12.525758257280252,1.2525758257280253
12.0,202.0,8.59041227480502,0.859041227480502
12.0,209.0,1.2877652230177778,0.12877652230177777
12.0,211.0,2.6211021097152094,0.26211021097152093
12.0,224.0,4.655974216483025,0.4655974216483025
12.0,229.0,7.3803230478282,0.73803230478282
12.0,230.0,7.055126137435804,0.7055126137435803
12.0,231.0,1.8125274677616743,0.18125274677616743
12.0,232.0,3.0398941832474513,0.30398941832474513
12.0,233.0,6.50738350279365,0.650738350279365
12.0,234.0,4.797066899522161,0.4797066899522161
12.0,236.0,10.027174430470279,1.0027174430470278
12.0,237.0,8.22766574140063,0.8227665741400629
12.0,238.0,10.67028791824211,1.067028791824211
12.0,239.0,9.513575317092434,0.9513575317092433
12.0,243.0,18.577562339879726,1.8577562339879727
12.0,244.0,16.845674728056093,1.6845674728056093
12.0,246.0,5.873415477940791,0.5873415477940791
12.0,249.0,3.755031689974258,0.3755031689974258
12.0,261.0,0.6519752289846882,0.06519752289846882
12.0,262.0,10.012903939045843,1.0012903939045843
12.0,263.0,10.050059968416061,1.005005996841606
13.0,4.0,3.5738159170539117,0.3573815917053912
13.0,12.0,1.0365198509296345,0.10365198509296344
13.0,24.0,10.895039995083046,1.0895039995083047
13.0,41.0,11.635930314722685,1.1635930314722684
13.0,42.0,13.516330076011368,1.3516330076011367
13.0,43.0,8.788614020736432,0.8788614020736432
13.0,48.0,6.19257658218743,0.619257658218743
13.0,68.0,4.379466251686226,0.43794662516862265
13.0,74.0,11.99467854027711,1.199467854027711
13.0,75.0,10.521460352358993,1.0521460352358993
13.0,79.0,3.1262523219014136,0.3126252321901414
13.0,87.0,0.9741421678161649,0.09741421678161649
13.0,88.0,1.031680434157039,0.10316804341570389
13.0,90.0,3.8991510734134978,0.38991510734134976
13.0,100.0,5.044876628044054,0.5044876628044054
13.0,103.0,3.454699010402733,0.3454699010402733
13.0,104.0,2.5211465786480334,0.25211465786480336
13.0,105.0,2.6418977609934395,0.26418977609934396
13.0,107.0,3.904330478112355,0.3904330478112355
13.0,113.0,2.953587084785784,0.29535870847857837
13.0,114.0,2.4935862562581694,0.24935862562581695
13.0,116.0,14.139062585815044,1.4139062585815043
13.0,118.0,2.281507417470629,0.2281507417470629
13.0,120.0,16.76329105314687,1.676329105314687
13.0,125.0,1.7332182758884584,0.17332182758884584
13.0,127.0,19.039375718918443,1.9039375718918443
13.0,128.0,19.643146834725044,1.9643146834725045
13.0,137.0,4.683831315473771,0.4683831315473771
13.0,140.0,7.995921951089541,0.7995921951089542
13.0,141.0,7.839762131521128,0.7839762131521127
13.0,142.0,7.480589698646803,0.7480589698646802
13.0,143.0,7.573753385988698,0.7573753385988697
13.0,144.0,1.8704835438361815,0.18704835438361817
13.0,148.0,2.28884650015646,0.228884650015646
13.0,151.0,10.498649572378985,1.0498649572378986
13.0,152.0,13.020166063860465,1.3020166063860465
13.0,153.0,20.458776527919877,2.0458776527919875
13.0,158.0,2.5929635833718137,0.25929635833718134
13.0,161.0,6.1539456625507825,0.6153945662550783
13.0,162.0,6.2010157289492325,0.6201015728949233
13.0,163.0,6.711868386989404,0.6711868386989404
13.0,164.0,4.792302071457255,0.47923020714572545
13.0,166.0,11.817295087381984,1.1817295087381985
