break_point,losses
0,"[4463034.5234375, 5379397.621527778, 4381609.524305556, 5887404.850694444, 5014174.559027778, 4801881.896701389, 5101617.990451389, 4782212.739583333, 4851191.522569444, 5349748.78125]"
150,"[4058757.9479166665, 4305818.338541667, 4216293.013888889, 4673258.513888889, 5097141.064236111, 4878491.791666667, 5014420.250868056, 4293715.138020833, 4621336.217881944, 4162127.6276041665]"
300,"[3661688.3697916665, 4173004.0442708335, 4901034.756944444, 4316983.784722222, 4719952.427951389, 4730258.232638889, 4036184.3368055555, 4729948.451388889, 4014993.810763889, 5080386.284722222]"
450,"[5642688.049479167, 8436477.867621528, 7294846.420572917, 7316636.948784722, 8288589.529513889, 7307075.021701389, 7644658.536458333, 8586988.914496528, 9000527.546875, 7834247.685329861]"
750,"[7391920.9453125, 7390976.449652778, 7855450.2578125, 7372670.680121528, 7292680.36328125, 7738340.304253472, 7479490.955295139, 7495803.501736111, 8343508.598090278, 8378009.446180556]"
1050,"[8364984.720723684, 10105771.977302631, 10881970.277631579, 11054557.29736842, 10924674.284210525, 10405881.425328948, 10655380.54736842, 10202493.832894737, 10256697.602302631, 10330266.903618421]"
