break_point,losses
0,"[391705.84375, 454541.28125, 427651.5364583333, 646203.3645833334, 655132.8541666666, 388840.0625, 497937.78125, 646056.8958333334, 430801.2916666667, 465061.4583333333]"
150,"[727367.8958333334, 461982.8958333333, 320484.0833333333, 410628.8229166667, 456665.6979166667, 460145.8854166667, 780655.4166666666, 921702.3541666666, 444473.15625, 377005.6041666667]"
300,"[386747.375, 497198.8854166667, 550916.2395833334, 464175.5729166667, 444881.3645833333, 507333.6145833333, 460680.6145833333, 656632.3541666666, 395253.203125, 391539.28125]"
450,"[966680.91875, 746042.784375, 835158.421875, 826265.75, 982743.55625, 864419.7541666667, 809011.259375, 894943.075, 858226.2098958333, 968675.8958333334]"
1050,"[653512.3035714285, 557214.5513392857, 502989.72098214284, 456264.79910714284, 368805.12946428574, 610123.1796875, 530826.6294642857, 437227.12053571426, 385692.3839285714, 469416.109375]"
1350,"[275091.6953125, 307122.921875, 205084.71875, 232359.5234375, 322673.46875, 246971.7578125, 321168.9921875, 378648.375, 215239.6484375, 198977.875]"
