georeference,ada_notes,ada,south_direction_label,north_direction_label,gtfs_longitude,gtfs_latitude,structure,daytime_routes,borough,stop_name,line,division,gtfs_stop_id,complex_id,station_id
POINT (-73.989951 40.734673),,0,Downtown & Brooklyn,Uptown & The Bronx,-73.989951,40.734673,Subway,4 5 6,M,14 St-Union Sq,Lexington Av,IRT,635,602,406
POINT (-73.88075 40.67413),,0,Euclid Av,Manhattan,-73.88075,40.67413,Subway,C,Bk,Shepherd Av,8th Av - Fulton St,IND,A54,187,187
POINT (-73.97641 40.775594),,0,Downtown & Brooklyn,Uptown & The Bronx,-73.97641,40.775594,Subway,B C,M,72 St,8th Av - Fulton St,IND,A22,160,160
POINT (-73.873785 40.683194),,0,Manhattan,Jamaica,-73.873785,40.683194,Elevated,J Z,Bk,Crescent St,Jamaica,BMT,J20,87,87
POINT (-73.894895 40.664635),,0,New Lots,Manhattan,-73.894895,40.664635,Elevated,3,Bk,Pennsylvania Av,Eastern Pky,IRT,255,350,350
POINT (-73.930729 40.679364),,1,Euclid - Lefferts - Rockaways,Manhattan,-73.930729,40.679364,Subway,A C,Bk,Utica Av,8th Av - Fulton St,IND,A48,181,181
POINT (-73.990862 40.686145),,0,Church Av - Coney Island,Manhattan - Queens,-73.990862,40.686145,Subway,F G,Bk,Bergen St,6th Av - Culver,IND,F20,236,236
POINT (-73.989998 40.693219),,1,Flatbush - New Lots,Manhattan,-73.989998,40.693219,Subway,2 3,Bk,Borough Hall,Clark St,IRT,232,620,335
POINT (-73.976041 40.751431),,1,34 St - Hudson Yards,Queens,-73.976041,40.751431,Subway,7,M,Grand Central-42 St,Flushing,IRT,723,610,465
POINT (-73.959399 40.617618),,0,Brighton Beach & Coney Island,Manhattan,-73.959399,40.617618,Open Cut,Q,Bk,Avenue M,Broadway - Brighton,BMT,D34,50,50
POINT (-73.937969 40.851695),,0,Downtown & Brooklyn,207 St,-73.937969,40.851695,Subway,A,M,181 St,8th Av - Fulton St,IND,A06,146,146
POINT (-73.98197 40.778453),,1,Downtown & Brooklyn,Uptown & The Bronx,-73.98197,40.778453,Subway,1 2 3,M,72 St,Broadway - 7Av,IRT,123,313,313
POINT (-73.961376 40.577621),,0,Coney Island,Manhattan,-73.961376,40.577621,Elevated,B Q,Bk,Brighton Beach,Broadway - Brighton,BMT,D40,55,55
POINT (-73.901034 40.862803),,1,Manhattan,Woodlawn,-73.901034,40.862803,Elevated,4,Bx,Fordham Rd,Jerome Av,IRT,407,382,382
POINT (-73.855359 40.858985),,0,Manhattan,Eastchester - Dyre Av,-73.855359,40.858985,Open Cut,5,Bx,Pelham Pkwy,Dyre Av,IRT,504,445,445
POINT (-73.988691 40.745494),,0,Downtown & Brooklyn,Uptown & Queens,-73.988691,40.745494,Subway,R W,M,28 St,Broadway - Brighton,BMT,R18,13,13
POINT (-73.929849 40.813224),,0,Manhattan,Woodlawn - Eastchester Dyre Av,-73.929849,40.813224,Subway,4 5,Bx,138 St-Grand Concourse,Jerome Av,IRT,416,391,391
POINT (-74.005351 40.631386),,0,Coney Island,Manhattan,-74.005351,40.631386,Open Cut,N,Bk,Fort Hamilton Pkwy,Sea Beach,BMT,N03,72,72
POINT (-74.011862 40.707557),,0,Downtown & Brooklyn,Uptown & The Bronx,-74.011862,40.707557,Subway,4 5,M,Wall St,Lexington Av,IRT,419,413,413
POINT (-73.98311 40.677316),,0,Bay Ridge - 95 St,Manhattan,-73.98311,40.677316,Subway,R,Bk,Union St,4th Av,BMT,R32,28,28
POINT (-73.831008 40.714441),,1,Manhattan,Jamaica,-73.831008,40.714441,Subway,E F,Q,Kew Gardens-Union Tpke,Queens Blvd,IND,F06,259,259
POINT (-73.796924 40.590927),,0,Far Rockaway,Manhattan,-73.796924,40.590927,Viaduct,A,Q,Beach 67 St,Rockaway,IND,H06,204,204
POINT (-73.943832 40.746554),,1,Brooklyn,,-73.943832,40.746554,Subway,G,Q,Court Sq,Crosstown,IND,G22,606,281
POINT (-73.981628 40.730953),,1,Brooklyn,8 Av,-73.981628,40.730953,Subway,L,M,1 Av,Canarsie,BMT,L06,119,119
POINT (-73.994304 40.640914),,0,Coney Island,Manhattan,-73.994304,40.640914,Elevated,D,Bk,Fort Hamilton Pkwy,West End,BMT,B13,60,60
POINT (-73.966839 40.688089),,0,Church Av,Queens,-73.966839,40.688089,Subway,G,Bk,Clinton-Washington Avs,Crosstown,IND,G35,291,291
