Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday
150,150,150,150,150,150,150
300,300,300,300,300,300,300
450,600,450,450,450,450,450
600,750,600,1050,1050,1050,1050
750,1350,750,1350,1350,1350,1350
