,start_time,end_time,zone_name,state_value
0,180,184,Zone_1,0.12728708155220508
1,180,184,Zone_2,0.09225022913079185
2,180,184,Zone_3,0.1363754926355356
3,180,184,Zone_4,0.086555460998418
4,185,189,Zone_1,0.10710407222153345
5,185,189,Zone_2,0.16094131292790287
6,185,189,Zone_3,0.0
7,185,189,Zone_4,0.08237787574462188
8,190,194,Zone_1,0.04244291701331477
9,190,194,Zone_2,0.13893830343636343
10,190,194,Zone_3,0.13296496493418072
11,190,194,Zone_4,0.07567794403202709
12,195,199,Zone_1,0.05442112182681345
13,195,199,Zone_2,0.07009472304651432
14,195,199,Zone_3,0.06456861489511884
15,195,199,Zone_4,0.07338280310571947
16,200,204,Zone_1,0.038768831141966484
17,200,204,Zone_2,0.0
18,200,204,Zone_3,0.012835031267466886
19,200,204,Zone_4,0.016879370363664572
20,205,209,Zone_1,0.0
21,205,209,Zone_2,0.0
22,205,209,Zone_3,0.032839114865547685
23,205,209,Zone_4,0.018271233667654676
24,210,214,Zone_1,0.044097216037530626
25,210,214,Zone_2,0.0233586238812287
26,210,214,Zone_3,0.017097580058782244
27,210,214,Zone_4,0.04615979762460341
28,215,219,Zone_1,0.0
29,215,219,Zone_2,0.02656958287037952
30,215,219,Zone_3,0.031623602874802266
31,215,219,Zone_4,0.0
32,220,224,Zone_1,0.023307663251391584
33,220,224,Zone_2,0.0
34,220,224,Zone_3,0.03372527740565615
35,220,224,Zone_4,0.0
36,225,229,Zone_1,0.0
37,225,229,Zone_2,0.0
38,225,229,Zone_3,0.0
39,225,229,Zone_4,0.0
40,230,234,Zone_1,0.0
41,230,234,Zone_2,0.0
42,230,234,Zone_3,0.0
43,230,234,Zone_4,0.0
44,235,239,Zone_1,0.0
45,235,239,Zone_2,0.0
46,235,239,Zone_3,0.0
47,235,239,Zone_4,0.0
48,240,244,Zone_1,0.2639691171007185
49,240,244,Zone_2,0.1882095066158663
50,240,244,Zone_3,0.26662211985923245
51,240,244,Zone_4,0.351289378834344
52,245,249,Zone_1,0.0
53,245,249,Zone_2,0.02036178556339237
54,245,249,Zone_3,0.0
55,245,249,Zone_4,0.04392999882927992
56,250,254,Zone_1,0.0
57,250,254,Zone_2,0.02179058914369952
58,250,254,Zone_3,0.0
59,250,254,Zone_4,0.02233978156558828
60,255,259,Zone_1,0.0
61,255,259,Zone_2,0.0
62,255,259,Zone_3,0.0
63,255,259,Zone_4,0.0
64,260,264,Zone_1,0.0
65,260,264,Zone_2,0.0
66,260,264,Zone_3,0.0
67,260,264,Zone_4,0.0
68,265,269,Zone_1,0.0
69,265,269,Zone_2,0.020304839367544975
70,265,269,Zone_3,0.04347938953318064
71,265,269,Zone_4,0.0416039362151596
72,270,274,Zone_1,0.0
73,270,274,Zone_2,0.0
74,270,274,Zone_3,0.0
75,270,274,Zone_4,0.0
76,275,279,Zone_1,0.042259407423286655
77,275,279,Zone_2,0.040636487591940204
78,275,279,Zone_3,0.020807449222601356
79,275,279,Zone_4,0.021559192850376004
80,280,284,Zone_1,0.0
81,280,284,Zone_2,0.020119692055622508
82,280,284,Zone_3,0.0
83,280,284,Zone_4,0.0
84,285,289,Zone_1,0.02202975338783932
85,285,289,Zone_2,0.0
86,285,289,Zone_3,0.0207291878537085
87,285,289,Zone_4,0.0
88,290,294,Zone_1,0.021636959084298
89,290,294,Zone_2,0.0
90,290,294,Zone_3,0.0
91,290,294,Zone_4,0.020012013588105847
92,295,299,Zone_1,0.0
93,295,299,Zone_2,0.01927774654288486
94,295,299,Zone_3,0.022201838087704873
95,295,299,Zone_4,0.0
96,300,304,Zone_1,0.2788644123017742
97,300,304,Zone_2,0.08995002340101378
98,300,304,Zone_3,0.286169296142619
99,300,304,Zone_4,0.24041545762794622
100,305,309,Zone_1,0.0
101,305,309,Zone_2,0.0
102,305,309,Zone_3,0.0
103,305,309,Zone_4,0.02214680894785197
104,310,314,Zone_1,0.0
105,310,314,Zone_2,0.0
106,310,314,Zone_3,0.0208456335
107,310,314,Zone_4,0.022922045139745162
108,315,319,Zone_1,0.0
109,315,319,Zone_2,0.0
110,315,319,Zone_3,0.020031313454694225
111,315,319,Zone_4,0.0640953264087281
112,320,324,Zone_1,0.020521697909813223
113,320,324,Zone_2,0.0
114,320,324,Zone_3,0.0
115,320,324,Zone_4,0.06593598253817926
116,325,329,Zone_1,0.0
117,325,329,Zone_2,0.020068457192874412
118,325,329,Zone_3,0.0
119,325,329,Zone_4,0.0
120,330,334,Zone_1,0.0
121,330,334,Zone_2,0.0
122,330,334,Zone_3,0.0
123,330,334,Zone_4,0.022087006160745267
124,335,339,Zone_1,0.0
125,335,339,Zone_2,0.020754428795999997
126,335,339,Zone_3,0.0
127,335,339,Zone_4,0.0
128,340,344,Zone_1,0.043535411883028625
129,340,344,Zone_2,0.0
130,340,344,Zone_3,0.019740545458342258
131,340,344,Zone_4,0.0
132,345,349,Zone_1,0.0
133,345,349,Zone_2,0.0
134,345,349,Zone_3,0.0
135,345,349,Zone_4,0.0
136,350,354,Zone_1,0.0
137,350,354,Zone_2,0.020006999999999997
138,350,354,Zone_3,0.0
139,350,354,Zone_4,0.020407638778012823
140,355,359,Zone_1,0.0
141,355,359,Zone_2,0.038983888154796795
142,355,359,Zone_3,0.021898137942
143,355,359,Zone_4,0.023001459250423753
144,360,364,Zone_1,0.15037059697392063
145,360,364,Zone_2,0.1599158662525727
146,360,364,Zone_3,0.31778321491021205
147,360,364,Zone_4,0.24896461038771994
148,365,369,Zone_1,0.0
149,365,369,Zone_2,0.0
