Zone,Lat,Long
4,40.72325,-73.97661111111111
12,40.70241666666667,-74.01547222222223
13,40.71172222222223,-74.01619444444445
24,40.80166666666666,-73.9648888888889
41,40.804249999999996,-73.95166666666667
42,40.8185,-73.93950000000001
43,40.781194444444445,-73.96644444444445
48,40.763444444444445,-73.98894444444444
68,40.749027777777776,-73.99952777777779
74,40.80047222222222,-73.93525000000001
75,40.78991666666666,-73.94586111111111
79,40.72741666666667,-73.98541666666667
87,40.70655555555556,-74.0068611111111
88,40.703361111111114,-74.01088888888889
90,40.74333333333333,-73.99616666666667
100,40.75125,-73.98680555555556
103,40.68983333333333,-74.04527777777777
104,40.69877777777778,-74.04075
105,40.688138888888886,-74.02
107,40.73719444444445,-73.98430555555555
113,40.73266666666667,-73.99463888888889
114,40.72913888888889,-73.99755555555555
116,40.82788888888889,-73.94791666666667
118,40.71933333333334,-73.99105555555556
120,40.84744444444445,-73.92952777777778
125,40.72602777777778,-74.00802777777778
127,40.86627777777778,-73.91886111111111
128,40.874138888888886,-73.92441666666667
137,40.74063888888889,-73.97577777777778
140,40.76611111111111,-73.95411111111112
141,40.7675,-73.95927777777779
142,40.773666666666664,-73.98155555555556
143,40.77622222222222,-73.98730555555555
144,40.72072222222222,-73.99744444444444
148,40.718916666666665,-73.99075
151,40.79852777777778,-73.96716666666667
152,40.818444444444445,-73.95258333333334
153,40.87697222222222,-73.90933333333334
158,40.73422222222222,-74.0081111111111
161,40.75855555555555,-73.97727777777779
162,40.75647222222222,-73.97227777777778
163,40.76522222222222,-73.97930555555556
164,40.74813888888889,-73.98577777777778
166,40.809749999999994,-73.962
170,40.747638888888886,-73.97944444444444
186,40.750055555555555,-73.99502777777778
194,40.79094444444444,-73.92352777777778
202,40.761583333333334,-73.94991666666667
209,40.70922222222222,-74.00311111111111
211,40.72361111111111,-74.00186111111111
224,40.73275,-73.9773888888889
229,40.75675,-73.96516666666668
230,40.76061111111111,-73.98211111111111
231,40.717777777777776,-74.00827777777778
232,40.71591666666667,-73.98411111111112
233,40.75011111111111,-73.97072222222222
234,40.740944444444445,-73.98986111111111
236,40.78080555555555,-73.95663888888889
237,40.76672222222222,-73.96716666666667
238,40.79241666666667,-73.97152777777778
239,40.78322222222222,-73.97836111111111
243,40.85702777777778,-73.93186111111112
244,40.842666666666666,-73.93983333333334
246,40.75438888888889,-74.00302777777777
249,40.73480555555555,-74.00286111111112
261,40.708222222222226,-74.01438888888889
262,40.775416666666665,-73.94588888888889
263,40.778555555555556,-73.95119444444445
