total_seconds,id,status,lat,lon
0,0,idling,40.65052199999973,-73.9458259999995
0,1,idling,40.7085219999996,-73.89082599999924
0,2,idling,40.702566,-73.816859
0,3,idling,40.62952199999978,-73.99782599999975
0,4,idling,40.679921,-73.940858
0,5,idling,40.655144,-74.003549
0,6,idling,40.60452199999984,-73.96282599999958
0,7,idling,40.64752199999974,-74.02282599999987
0,8,idling,40.65552199999972,-73.95982599999957
0,9,idling,40.68652199999965,-73.84782599999903
0,10,idling,40.8775219999992,-73.86982599999914
0,11,idling,40.61152199999982,-73.94882599999951
0,12,idling,40.61152199999982,-73.99382599999973
0,13,idling,40.65552199999972,-73.95982599999957
0,14,idling,40.61152199999982,-73.94882599999951
0,15,idling,40.61152199999982,-73.94882599999951
0,16,idling,40.90352199999914,-73.84982599999904
0,17,idling,40.85652199999925,-73.93882599999947
0,18,idling,40.65552199999972,-73.95982599999957
0,19,idling,40.57552199999991,-73.9658259999996
0,20,idling,40.87352199999921,-73.89182599999924
0,21,idling,40.646654,-73.90185
0,22,idling,40.61852199999981,-74.02582599999988
0,23,idling,40.61152199999982,-73.99382599999973
0,24,idling,40.768296,-73.981736
0,25,idling,40.86452199999923,-73.89282599999925
0,26,idling,40.833521999999306,-73.9448259999995
0,27,idling,40.680429,-73.843853
0,28,idling,40.8775219999992,-73.89082599999924
0,29,idling,40.63452199999977,-74.01782599999984
0,30,idling,40.666235,-73.884079
0,31,idling,40.721691,-73.844521
0,32,idling,40.572521999999914,-73.9878259999997
0,33,idling,40.86252199999924,-73.89582599999926
0,34,idling,40.7085219999996,-73.89082599999924
0,35,idling,40.61152199999982,-73.94882599999951
0,36,idling,40.629755,-73.976971
0,37,idling,40.86452199999923,-73.89282599999925
0,38,idling,40.842521999999285,-73.93582599999945
0,39,idling,40.63552199999977,-74.01782599999984
0,40,idling,40.722521999999564,-73.84582599999902
0,41,idling,40.89752199999916,-73.89882599999927
0,42,idling,40.72452199999956,-73.84682599999903
0,43,idling,40.641362,-74.017881
0,44,idling,40.57552199999991,-73.96282599999958
0,45,idling,40.718611,-73.988114
0,46,idling,40.61852199999981,-74.02782599999989
0,47,idling,40.87352199999921,-73.89182599999924
0,48,idling,40.86452199999923,-73.87882599999918
0,49,idling,40.86252199999924,-73.89582599999926
0,50,idling,40.60752199999983,-73.94982599999952
0,51,idling,40.603995,-73.755405
0,52,idling,40.86252199999924,-73.89582599999926
0,53,idling,40.828584,-73.879159
0,54,idling,40.6215219999998,-73.99382599999973
0,55,occupied,40.752521999999495,-73.98082599999967
0,56,idling,40.90152199999915,-73.8628259999991
