total_seconds,cell_id
46860,55677
46860,103887
46860,140681
46860,142152
46860,141445
46860,142520
46860,140689
46860,27245
46860,141028
46860,142534
46860,141844
46860,42502
46860,141080
46860,84983
46860,141753
46860,142545
46860,86075
46860,139899
46860,142172
46860,141461
46860,140629
46860,139954
46860,61570
46860,100260
46860,142556
46860,141356
46860,83490
46860,141767
46860,141080
46860,84983
46860,86075
46860,88247
46860,27245
46860,73710
46860,141793
46860,142206
46860,141470
46860,141810
46860,141074
46860,75862
46860,61570
46860,141464
46860,56870
46860,142477
46860,141490
46860,142069
46860,84621
46860,84983
46860,142138
46860,141439
46860,100226
46860,25480
46860,142509
46860,89701
46860,142480
46860,94777
46860,141459
46860,140709
46860,84983
46860,114876
46860,142092
46860,77224
46860,142422
46860,142132
46860,142146
46860,51423
46860,94414
46860,142514
46860,79750
46860,76202
46860,89863
46860,142551
46860,141011
46860,142588
46860,100226
46860,73710
46860,142161
46860,25480
46860,142155
46860,73710
46860,139977
46860,89694
46860,141049
46860,79500
46860,94777
46860,141020
46860,142149
46860,86332
46860,142112
46860,141408
46860,56870
46860,25480
46860,141770
46860,141031
46860,88247
46860,141428
46860,139525
46860,142509
46860,140327
46860,39597
46920,55677
46920,103887
46920,140681
46920,142152
46920,141445
46920,142520
46920,140689
46920,27245
46920,141028
46920,142534
46920,141844
46920,42502
46920,141080
46920,84983
46920,141753
46920,142545
46920,86075
46920,139899
46920,142172
46920,141461
46920,140629
46920,139954
46920,61570
46920,100260
46920,142556
46920,141356
46920,83490
46920,141767
46920,141080
46920,84983
46920,86075
46920,88247
46920,27245
46920,73710
46920,141793
46920,142206
46920,141470
46920,141810
46920,141074
46920,75862
46920,61570
46920,141464
46920,56870
46920,142477
46920,141490
46920,142069
46920,84621
46920,84983
46920,142138
46920,141439
46920,100226
46920,25480
46920,142509
46920,89701
46920,142480
46920,94777
46920,141459
46920,140709
46920,84983
46920,114876
46920,142092
46920,77224
46920,142422
46920,142132
46920,142146
46920,51423
46920,94414
46920,142514
46920,79750
46920,76202
46920,89863
46920,142551
46920,141011
46920,142588
46920,100226
46920,73710
46920,142161
46920,25480
46920,142155
46920,73710
46920,139977
46920,89694
46920,141049
46920,79500
46920,94777
46920,141020
46920,142149
46920,86332
46920,142112
46920,141408
46920,56870
46920,25480
46920,141770
46920,141031
46920,88247
46920,141428
46920,139525
46920,142509
46920,140327
46920,39597
46980,55677
46980,103887
46980,140681
46980,142152
46980,141445
46980,142520
46980,140689
46980,27245
46980,141028
46980,142534
46980,141844
46980,42502
46980,141080
46980,84983
46980,141753
46980,142545
46980,86075
46980,139899
46980,142172
46980,141461
46980,140629
46980,139954
46980,61570
46980,100260
46980,142556
46980,141356
46980,83490
46980,141767
46980,141080
46980,84983
46980,86075
46980,88247
46980,27245
46980,73710
46980,141793
46980,142206
46980,141470
46980,141810
