Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday
150,150,150,150,150,150,150
300,300,300,300,300,300,300
450,450,450,450,450,450,450
1050,1050,600,600,1050,1050,1050
1350,1350,1050,1350,1350,1350,1350
